register ,address ,addr  ,size ,type   ,group    ,active ,byteorder    ,datamodel           ,description
EDP-2    ,    131 ,30132 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Largura do pulso EDP-2**
EDP-3    ,    132 ,30133 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Largura do pulso EDP-3**
LSTS     ,    150 ,30151 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da carga
A0-HORIM ,    160 ,30161 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Horímetro
C8-EA+   ,    200 ,30201 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Energia Ativa Positiva (KWh)
CA-ER+   ,    202 ,30203 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Energia Reativa Positiva(KVArh)
CC-EA-   ,    204 ,30205 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Energia Ativa Negativa (KWh)
CE-ER-   ,    206 ,30207 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Energia Reativa Negativa (KQh)
D0-MDA   ,    208 ,30209 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Máx. Demanda Ativa (KW)
D2-DA    ,    210 ,30211 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Demanda Ativa (KW)
D4-MDS   ,    212 ,30213 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Máx. Demanda Aparente (KVA)
D6-DS    ,    214 ,30215 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Demanda Aparente (KVA)
UAN-THD  ,   3000 ,33001 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 1
UBN-THD  ,   3001 ,33002 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 2
UCN-THD  ,   3002 ,33003 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 3
IA-THD   ,   3003 ,33004 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 1
IB-THD   ,   3004 ,33005 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 2
IC-THD   ,   3005 ,33006 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 3
U1-THD   ,   3006 ,33007 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Tensão da fase 1
U2-THD   ,   3007 ,33008 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Tensão da fase 2
U3-THD   ,   3008 ,33009 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Tensão da fase 3
I1-THD   ,   3009 ,33010 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Corrente da fase 1
I2-THD   ,   3010 ,33011 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Corrente da fase 2
I3-THD   ,   3011 ,33012 ,   1 ,int16  ,         ,false  ,MSB_LSB      ,read_input_register ,THD de agrupamento da Corrente da fase 3
Temp-GC  ,   9000 ,39001 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Temperatura em graus Celsius
Temp-ADC ,   9002 ,39003 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Temperatura valor lido do ADC
