register,address,size,data,Type,group,active,byteorder,datamodel,description
consumption_peak_quartely,270,2,ConsumoPonta15min,float,quartely,true,,,Consumo nos últimos 15 minutos no horário de ponta
consumption_off_peak_quartely,272,2,ConsumoForaPonta15min,float,quartely,true,,,Consumo nos últimos 15 minutos no horário fora de ponta
consumption_reserve_quartely,274,2,ConsumoReserv15min,float,quartely,true,,,Consumo nos últimos 15 minutos no horário reservado
inductive_power_peak_quartely,276,2,EnergIndPonta15min,float,quartely,true,,,Energia Indutiva nos últimos 15 minutos no horário de ponta
inductive_power_off_peak_quartely,278,2,EnergIndForaPonta15min,float,quartely,true,,,Energia Indutiva nos últimos 15 minutos no horário fora de ponta
inductive_power_off_peak_quartely,280,2,EnergIndReserv15min,float,quartely,true,,,Energia Indutiva nos últimos 15 minutos no horário reservado
capacitive_power_peak_quartely,282,2,EnergCapPonta15min,float,quartely,true,,,Energia Capacitiva nos últimos 15 minutos no horário de ponta
capacitive_power_off_peak_quartely,284,2,EnergCapForaPonta15min,float,quartely,true,,,Energia Capacitiva nos últimos 15 minutos no horário fora de ponta
,286,2,EnergCapReserv15min,float,,,,,Energia Capacitiva nos últimos 15 minutos no horário reservado
,288,2,ConstanteDoUsuario1,float,,,,,Constante do Usuário 1 (sugestão de setpoint 1)
,290,2,ConstanteDoUsuario2,float,,,,,Constante do Usuário 2 (sugestão de setpoint 2)
,292,2,ConstanteDoUsuario3,float,,,,,Constante do Usuário 3 (sugestão de setpoint 3)
,294,2,ConstanteDoUsuario4,float,,,,,Constante do Usuário 4 (sugestão de setpoint 4)
,296,2,ConstanteDoUsuario5,float,,,,,Constante do Usuário 5 (sugestão de setpoint 5)
,298,2,ConstanteDoUsuario6,float,,,,,Constante do Usuário 6 (sugestão de setpoint 6)
,300,2,EnergGerPonta,float,,,,,Energia Gerada desde o último reset no horário de ponta
,302,2,EnergGerForaPonta,float,,,,,Energia Gerada desde o último reset no horário fora de ponta
,304,2,EnergGerReserv,float,,,,,Energia Gerada desde o último reset no horário reservado
,306,2,ConsumoPonta,float,,,,,Consumo desde o último reset no horário de ponta
,308,2,ConsumoForaPonta,float,,,,,Consumo desde o último reset no horário fora de ponta
,308,2,ConsumoForaPonta,float,,,,,Consumo desde o último reset no horário fora de ponta
,310,2,ConsumoReserv,float,,,,,Consumo desde o último reset no horário reservado
,312,2,EnergIndPonta,float,,,,,Energia Indutiva desde o último reset no horário de ponta
,314,2,EnergIndForaPonta,float,,,,,Energia Indutiva desde o último reset no horário fora de ponta
,316,2,EnergIndReserv,float,,,,,Energia Indutiva desde o último reset no horário reservado
,318,2,EnergCapPonta,float,,,,,Energia Capacitiva desde o último reset no horário de ponta
,320,2,EnergCapForaPonta,float,,,,,Energia Capacitiva desde o último reset no horário fora de ponta
,322,2,EnergCapReserv,float,,,,,Energia Capacitiva desde o último reset no horário reservado
,324,2,MaxPotAtivPonta,float,,,,,Máxima Potência Ativa Acumulada (interv. de 15min.) desde o último reset no horário de ponta
,326,2,MaxPotAtivForaPonta,float,,,,,Máxima Potência Ativa Acumulada (interv. de 15min.) desde o último reset no horário f. ponta
,328,2,MaxPotAtivReserv,float,,,,,Máxima Potência Ativa Acumulada (interv. de 15min.) desde o último reset no horário reservado
,330,2,MaxPotReatPonta,float,,,,,Máxima Potência Reativa Acumulada (interv. de 15min.) desde o último reset no horário de ponta
,332,2,MaxPotReatForaPonta,float,,,,,Máxima Potência Reativa Acumulada (interv. de 15min.) desde o último reset no horário f. ponta
,334,2,MaxPotReatReserv,float,,,,,Máxima Potência Reativa Acumulada (interv. de 15min.) desde o último reset no horário reservado
,336,2,EnergGerPonta15minAcc,float,,,,,Energia Gerada nos últimos 15 minutos até este instante no horário de ponta
,338,2,EnergGerForaPonta15minAcc,float,,,,,Energia Gerada nos últimos 15 minutos até este instante no horário fora de ponta
,340,2,EnergGerReserv15minAcc,float,,,,,Energia Gerada nos últimos 15 minutos até este instante no horário reservado
,342,2,ConsumoPonta15minAcc,float,,,,,Consumo nos últimos 15 minutos até este instante no horário de ponta
,344,2,ConsumoForaPonta15minAcc,float,,,,,Consumo nos últimos 15 minutos até este instante no horário fora de ponta
,346,2,ConsumoReserv15minAcc,float,,,,,Consumo nos últimos 15 minutos até este instante no horário reservado
,348,2,EnergIndPonta15minAcc,float,,,,,Energia Indutiva nos últimos 15 minutos até este instante no horário de ponta
,350,2,EnergIndForaPonta15minAcc,float,,,,,Energia Indutiva nos últimos 15 minutos até este instante no horário fora de ponta
,352,2,EnergIndReserv15minAcc,float,,,,,Energia Indutiva nos últimos 15 minutos até este instante no horário reservado
,354,2,EnergCapPonta15minAcc,float,,,,,Energia Capacitiva nos últimos 15 minutos até este instante no horário de ponta
,356,2,EnergCapForaPonta15minAcc,float,,,,,Energia Capacitiva nos últimos 15 minutos até este instante no horário fora de ponta
,358,2,EnergCapReserv15minAcc,float,,,,,Energia Capacitiva nos últimos 15 minutos até este instante no horário reservado
,360,2,PotAtivPonta15minAcc,float,,,,,Potência Ativa acumulada nos últimos 15 minutos até este instante no horário de ponta
,362,2,PotAtivForaPonta15minAcc,float,,,,,Potência Ativa acumulada nos últimos 15 minutos até este instante no horário de fora ponta
,364,2,PotAtivReserv15minAcc,float,,,,,Potência Ativa acumulada nos últimos 15 minutos até este instante no horário reservado
,366,2,PotReatPonta15minAcc,float,,,,,Potência Reativa acumulada nos últimos 15 minutos até este instante no horário de ponta
,368,2,PotReatForaPonta15minAcc,float,,,,,Potência Reativa acumulada nos últimos 15 minutos até este instante no horário de fora ponta
,370,2,PotReatReserv15minAcc,float,,,,,Potência Reativa acumulada nos últimos 15 minutos até este instante no horário reservado
,372,8,Lista1MaxPotAtivPontaMesAtual,float,,,,,Lista # 1: Quatro maiores Pot. Acc. Ativas no mês atual
,380,8,Lista2MaxPotAtivForaPontaMesAtual,float,,,,,Lista #2: Quatro maiores Pot. Acc. Ativas no mês atual
,388,8,Lista3MaxPotAtivReservMesAtual,float,,,,,Lista # 3: Quatro maiores Pot. Acc. Ativas no mês atual
,396,8,Lista4MaxPotReatPontaMesAtual,float,,,,,Lista # 4: Quatro maiores Pot. Acc. Reativas no mês atual
,404,8,Lista5MaxPotReatForaPontaMesAtual,float,,,,,Lista #5: Quatro maiores Pot. Acc. Reativas no mês atual
,412,8,Lista6MaxPotReatReservMesAtual,float,,,,,Lista # 6: Quatro maiores Pot. Acc. Reativas no mês atual
Lista7MaxPotAtivPontaMesPassado,420,8,Lista7MaxPotAtivPontaMesPassado,float,monthly,,,,Lista # 7: Quatro maiores Pot. Acc. Ativas no mês passado
Lista8MaxPotAtivForaPonta,428,8,Lista8MaxPotAtivForaPonta,float,monthly,,,,Lista # 8: Quatro maiores Pot. Acc. Ativas no mês passado
Lista9MaxPotAtivReserv,436,8,Lista9MaxPotAtivReserv,float,monthly,,,,Lista # 9: Quatro maiores Pot. Acc. Ativas no mês passado
Lista10MaxPotReatPonta,444,8,Lista10MaxPotReatPonta,float,monthly,,,,Lista # 10: Quatro maiores Pot. Acc. Reativas no mês passado
Lista11MaxPotReatForaPonta,452,8,Lista11MaxPotReatForaPonta,float,monthly,,,,Lista # 11: Quatro maiores Pot. Acc. Reativas no mês passado
Lista12MaxPotReatReserv,460,8,Lista12MaxPotReatReserv,float,monthly,,,,Lista # 12: Quatro maiores Pot. Acc. Reativas no mês atual passado
,468,4,MesDiaLista1,short,,,,,Data no formato “MesDia”
,472,4,HoraMinLista1,short,,,,,Hora no formato “HoraMin”
,476,4,MesDiaLista2,short,,,,,Data no formato “MesDia”
,480,4,HoraMinLista2,short,,,,,Hora no formato “HoraMin”
,484,4,MesDiaLista3,short,,,,,Data no formato “MesDia”
,488,4,HoraMinLista3,short,,,,,Hora no formato “HoraMin”
,492,4,MesDiaLista4,short,,,,,Data no formato “MesDia”
,496,4,HoraMinLista4,short,,,,,Hora no formato “HoraMin”
,500,4,MesDiaLista5,short,,,,,Data no formato “MesDia”
,504,4,HoraMinLista5,short,,,,,Hora no formato “HoraMin”
,508,4,MesDiaLista6,short,,,,,Data no formato “MesDia”
,512,4,HoraMinLista6,short,,,,,Hora no formato “HoraMin”
MesDiaLista7,516,4,MesDiaLista7,short,monthly,,,,Data no formato “MesDia”
HoraMinLista7,520,4,HoraMinLista7,short,monthly,,,,Hora no formato “HoraMin”
MesDiaLista8,524,4,MesDiaLista8,short,monthly,,,,Data no formato “MesDia”
HoraMinLista8,528,4,HoraMinLista8,short,monthly,,,,Hora no formato “HoraMin”
MesDiaLista9,532,4,MesDiaLista9,short,monthly,,,,Data no formato “MesDia”
HoraMinLista9,536,4,HoraMinLista9,short,monthly,,,,Hora no formato “HoraMin”
MesDiaLista10,540,4,MesDiaLista10,short,monthly,,,,Data no formato “MesDia”
HoraMinLista10,544,4,HoraMinLista10,short,monthly,,,,Hora no formato “HoraMin”
MesDiaLista11,548,4,MesDiaLista11,short,monthly,,,,Data no formato “MesDia”
HoraMinLista11,552,4,HoraMinLista11,short,monthly,,,,Hora no formato “HoraMin”
,556,4,MesDiaLista12,short,,,,,Data no formato “MesDia”
,560,4,HoraMinLista12,short,,,,,Hora no formato “HoraMin”
,564,1,FechamentoDoMes,short,,,,,Dia e Hora do Fechamento do Mês (medição da concessionária) no formato “DiaHora”
,565,1,Status Dos Reles,short,,,,,Status dos Relés 1
,566,1,EnderecoGrandeza1_R1,short,,,,,Endereço Modbus da Primeira Grandeza que aciona o Relé 1
,567,1,EnderecoGrandeza2_R1,short,,,,,Endereço Modbus da Segunda Grandeza que aciona o Relé 1
,568,1,EnderecoGrandeza3_R1,short,,,,,Endereço Modbus da Terceira Grandeza que aciona o Relé 1
,569,1,EnderecoSetPoint1_R1,short,,,,,Endereço Modbus do Primeiro SetPoint de comparação para ativação do Relé 1
,570,1,EnderecoSetPoint2_R1,short,,,,,Endereço Modbus do Segundo SetPoint de comparação para ativação do Relé 1
,571,1,EnderecoSetPoint3_R1,short,,,,,Endereço Modbus do Terceiro SetPoint de comparação para ativação do Relé 1
,572,1,TempoObservacaoR1,short,,,,,Tempo de Observação para ativação do Relé 1
,573,1,TipoDeComparacaoR1,short,,,,,Tipo de comparação que é feita para ligar o Relé 1
,574,1,EnderecoGrandeza1_R3,short,,,,,Endereço Modbus da Primeira Grandeza que aciona o Relé 3
,575,1,EnderecoGrandeza2_R3,short,,,,,Endereço Modbus da Segunda Grandeza que aciona o Relé 3
,576,1,EnderecoGrandeza3_R3,short,,,,,Endereço Modbus da Terceira Grandeza que aciona o Relé 3
,577,1,EnderecoSetPoint1_R3,short,,,,,Endereço Modbus do Primeiro SetPoint de comparação para ativação do Relé 3
,578,1,EnderecoSetPoint2_R3,short,,,,,Endereço Modbus do Segundo SetPoint de comparação para ativação do Relé 3
,579,1,EnderecoSetPoint3_R3,short,,,,,Endereço Modbus do Terceiro SetPoint de comparação para ativação do Relé 3
,580,1,TempoObservacaoR3,short,,,,,Tempo de Observação para ativação do Relé 3
,581,1,TipoDeComparacaoR3,short,,,,,Tipo de comparação que é feita para ligar o Relé 3
,582,1,EnderecoGrandeza1_R2,short,,,,,Endereço Modbus da Primeira Grandeza que aciona o Relé 2
,583,1,EnderecoGrandeza2_R2,short,,,,,Endereço Modbus da Segunda Grandeza que aciona o Relé 2
,584,1,EnderecoGrandeza3_R2,short,,,,,Endereço Modbus da Terceira Grandeza que aciona o Relé 2
,585,1,EnderecoSetPoint1_R2,short,,,,,Endereço Modbus do Primeiro SetPoint de comparação para ativação do Relé 2
,586,1,EnderecoSetPoint2_R2,short,,,,,Endereço Modbus do Segundo SetPoint de comparação para ativação do Relé 2
,587,1,EnderecoSetPoint3_R2,short,,,,,Endereço Modbus do Terceiro SetPoint de comparação para ativação do Relé 2
,588,1,TempoObservacaoR2,short,,,,,Tempo de Observação para ativação do Relé 2
,589,1,TipoDeComparacaoR2,short,,,,,Tipo de comparação que é feita para ligar o Relé 2
,590,2,MMUa,float,,,,,Tensão Integrada Fase A
,592,2,MMUb,float,,,,,Tensão Integrada Fase B
,594,2,MMUc,float,,,,,Tensão Integrada Fase C
,596,2,MMIa,float,,,,,Corrente Integrada Fase A
,598,2,MMIb,float,,,,,Corrente Integrada Fase B
,600,2,MMIc,float,,,,,Corrente Integrada Fase C
,602,2,MMDemP,float,,,,,Demanda Ativa Integrada Total
,604,2,MMDemQ,float,,,,,Demanda Reativa Integrada Total
,606,2,MMFPt,float,,,,,Fator de Potência Integrado Total
,608,2,tMMgrandezas,short,,,,,Tempo de integração de Grandezas
